iter	Passed	Remaining
0	285	284878
1	290	145073
2	292	97304
3	294	73432
4	297	59235
5	302	50058
6	303	43111
7	305	37894
8	307	33848
9	310	30781
10	313	28150
11	315	25942
12	317	24103
13	319	22490
14	321	21080
15	322	19840
16	327	18949
17	329	17991
18	331	17116
19	333	16323
20	334	15616
21	336	14967
22	338	14372
23	345	14045
24	347	13541
25	349	13094
26	351	12671
27	358	12451
28	360	12078
29	362	11723
30	364	11390
31	366	11077
32	371	10883
33	373	10615
34	375	10348
35	376	10094
36	378	9856
37	380	9628
38	384	9480
39	386	9285
40	388	9093
41	390	8915
42	392	8733
43	394	8560
44	395	8399
45	399	8292
46	401	8141
47	403	7995
48	404	7859
49	406	7724
50	408	7596
51	409	7471
52	414	7397
53	415	7282
54	417	7172
55	419	7064
56	420	6961
57	422	6861
58	423	6762
59	426	6686
60	428	6601
61	430	6515
62	432	6429
63	433	6344
64	435	6263
65	437	6184
66	438	6110
67	439	6027
68	443	5977
69	444	5911
70	446	5843
71	449	5789
72	451	5738
73	453	5680
74	456	5625
75	458	5574
76	460	5519
77	462	5471
78	464	5414
79	466	5359
80	467	5306
81	469	5253
82	471	5205
83	473	5158
84	474	5103
85	475	5057
86	476	5005
87	478	4959
88	480	4916
89	482	4876
90	484	4844
91	486	4806
92	488	4764
93	490	4724
94	491	4684
95	493	4646
96	495	4610
97	496	4573
98	498	4536
99	500	4500
100	501	4465
101	502	4424
102	504	4392
103	505	4358
104	507	4325
105	508	4292
106	510	4261
107	512	4231
108	513	4200
109	515	4172
110	517	4142
111	518	4113
112	520	4085
113	522	4058
114	523	4030
115	525	4001
116	526	3975
117	528	3949
118	529	3922
119	531	3897
120	533	3872
121	534	3847
122	535	3817
123	537	3794
124	539	3774
125	540	3751
126	542	3727
127	543	3701
128	544	3679
129	546	3657
130	548	3637
131	549	3616
132	551	3596
133	553	3575
134	555	3556
135	556	3537
136	558	3517
137	559	3496
138	561	3477
139	563	3458
140	564	3440
141	566	3424
142	568	3405
143	569	3387
144	571	3370
145	573	3352
146	574	3335
147	576	3318
148	578	3302
149	580	3287
150	581	3270
151	583	3255
152	585	3239
153	586	3223
154	588	3207
155	589	3191
156	591	3176
157	593	3162
158	594	3146
159	596	3132
160	598	3117
161	599	3102
162	601	3089
163	603	3075
164	604	3061
165	606	3047
166	608	3034
167	610	3020
168	611	3008
169	613	2994
170	614	2981
171	616	2968
172	618	2955
173	619	2943
174	621	2929
175	623	2918
176	624	2905
177	626	2892
178	628	2880
179	629	2869
180	630	2853
181	632	2841
182	634	2830
183	635	2819
184	637	2808
185	639	2798
186	640	2786
187	642	2775
188	644	2764
189	645	2753
190	647	2743
191	649	2732
192	650	2721
193	652	2711
194	654	2700
195	656	2691
196	657	2680
197	659	2670
198	660	2659
199	662	2649
200	664	2639
201	665	2630
202	667	2620
203	668	2610
204	670	2600
205	672	2590
206	674	2582
207	675	2572
208	677	2562
209	678	2553
210	680	2543
211	681	2534
212	683	2525
213	685	2516
214	686	2507
215	688	2498
216	689	2488
217	691	2480
218	693	2471
219	694	2463
220	696	2454
221	697	2445
222	699	2437
223	701	2429
224	702	2420
225	704	2412
226	706	2404
227	707	2395
228	709	2387
229	710	2379
230	712	2371
231	713	2363
232	715	2355
233	717	2347
234	719	2341
235	724	2345
236	730	2351
237	732	2345
238	734	2338
239	737	2333
240	739	2328
241	744	2332
242	748	2330
243	751	2327
244	753	2322
245	758	2323
246	760	2318
247	762	2311
248	765	2307
249	767	2301
250	768	2294
251	770	2287
252	775	2289
253	777	2283
254	779	2277
255	781	2271
256	786	2272
257	790	2274
258	793	2269
259	795	2264
260	797	2258
261	799	2252
262	804	2253
263	806	2247
264	808	2243
265	812	2242
266	815	2237
267	818	2235
268	820	2230
269	822	2224
270	824	2218
271	826	2212
272	828	2206
273	830	2200
274	833	2197
275	835	2192
276	838	2187
277	840	2182
278	842	2176
279	844	2170
280	845	2164
281	849	2163
282	851	2157
283	853	2151
284	855	2146
285	857	2140
286	859	2134
287	862	2132
288	865	2130
289	868	2125
290	870	2121
291	872	2116
292	874	2111
293	876	2105
294	878	2100
295	880	2094
296	882	2088
297	883	2082
298	885	2075
299	886	2069
300	888	2063
301	890	2058
302	893	2054
303	894	2048
304	896	2042
305	898	2036
306	899	2030
307	901	2024
308	902	2018
309	904	2013
310	907	2010
311	909	2004
312	910	1999
313	912	1993
314	913	1987
315	915	1981
316	917	1976
317	918	1970
318	920	1965
319	922	1960
320	924	1955
321	926	1949
322	927	1944
323	929	1938
324	930	1933
325	932	1927
326	934	1922
327	936	1919
328	938	1914
329	940	1909
330	941	1903
331	943	1898
332	945	1893
333	947	1888
334	949	1883
