iter	Passed	Remaining
0	292	292107
1	294	146928
2	296	98692
3	298	74411
4	300	59812
5	303	50201
6	305	43293
7	306	38052
8	308	33988
9	311	30812
10	313	28174
11	315	25971
12	320	24322
13	322	22720
14	324	21304
15	326	20063
16	327	18959
17	329	17975
18	331	17130
19	333	16351
20	335	15633
21	337	14989
22	338	14396
23	340	13848
24	342	13343
25	343	12876
26	345	12450
27	348	12087
28	349	11718
29	351	11369
30	353	11044
31	355	10743
32	356	10454
33	358	10183
34	360	9931
35	362	9697
36	364	9475
37	365	9260
38	367	9067
39	370	8883
40	371	8694
41	373	8517
42	375	8361
43	377	8204
44	379	8047
45	380	7896
46	382	7752
47	383	7615
48	385	7484
49	387	7359
50	389	7246
51	391	7135
52	392	7021
53	394	6913
54	396	6807
55	397	6707
56	399	6609
57	401	6515
58	403	6434
59	405	6355
60	407	6270
61	408	6187
62	410	6104
63	412	6028
64	413	5952
65	415	5879
66	417	5810
67	419	5752
68	421	5687
69	423	5621
70	424	5558
71	426	5495
72	428	5436
73	429	5377
74	431	5320
75	433	5265
76	435	5217
77	436	5164
78	438	5113
79	440	5061
80	441	5011
81	443	4965
82	444	4914
83	446	4871
84	448	4831
85	450	4792
86	452	4752
87	454	4714
88	456	4677
89	458	4637
90	460	4597
91	461	4557
92	463	4524
93	465	4490
94	467	4452
95	469	4416
96	470	4380
97	472	4346
98	473	4312
99	475	4279
100	477	4247
101	479	4222
102	481	4193
103	483	4161
104	484	4131
105	486	4101
106	488	4073
107	489	4043
108	491	4015
109	493	3988
110	495	3968
111	497	3941
112	498	3916
113	500	3890
114	502	3864
115	503	3839
116	505	3811
117	506	3786
118	508	3768
119	510	3746
120	512	3724
121	514	3699
122	515	3676
123	517	3654
124	518	3632
125	520	3610
126	521	3586
127	524	3572
128	526	3554
129	528	3533
130	529	3513
131	531	3492
132	532	3474
133	534	3455
134	536	3435
135	538	3418
136	540	3405
137	542	3386
138	543	3369
139	545	3351
140	547	3333
141	548	3312
142	549	3295
143	551	3278
144	554	3267
145	556	3252
146	557	3236
147	559	3222
148	561	3209
149	563	3193
150	565	3177
151	566	3162
152	569	3151
153	571	3137
154	572	3122
155	574	3107
156	576	3092
157	577	3078
158	579	3064
159	580	3050
160	582	3033
161	584	3023
162	586	3010
163	587	2997
164	589	2983
165	591	2970
166	592	2956
167	594	2942
168	595	2930
169	597	2919
170	599	2907
171	601	2895
172	603	2883
173	604	2870
174	606	2858
175	608	2847
176	609	2835
177	611	2823
178	613	2815
179	615	2803
180	617	2792
181	618	2780
182	620	2769
183	621	2758
184	623	2746
185	625	2735
186	626	2724
187	629	2716
188	630	2706
189	632	2695
190	633	2685
191	635	2675
192	637	2664
193	638	2654
194	640	2644
195	642	2636
196	644	2628
197	646	2618
198	648	2610
199	650	2603
200	652	2593
201	654	2583
202	655	2574
203	658	2567
204	659	2559
205	661	2550
206	663	2540
207	664	2531
208	666	2522
209	668	2513
210	669	2504
211	671	2495
212	673	2489
213	675	2480
214	677	2472
215	679	2465
216	681	2458
217	683	2451
218	685	2443
219	687	2436
220	689	2430
221	690	2421
222	692	2413
223	694	2404
224	695	2396
225	697	2388
226	699	2380
227	700	2372
228	703	2367
229	705	2360
230	706	2352
231	708	2345
232	710	2337
233	711	2329
234	713	2322
235	714	2314
236	716	2307
237	719	2303
238	721	2295
239	722	2288
240	724	2281
241	725	2273
242	727	2266
243	729	2259
244	730	2251
245	733	2249
246	735	2242
247	737	2235
248	738	2227
249	740	2220
250	741	2213
251	743	2206
252	745	2200
253	746	2193
254	748	2188
255	750	2181
256	752	2175
257	755	2171
258	756	2165
259	758	2158
260	760	2152
261	762	2146
262	764	2141
263	765	2135
264	767	2128
265	769	2122
266	770	2115
267	772	2109
268	773	2103
269	775	2096
270	778	2092
271	779	2087
272	781	2080
273	782	2074
274	784	2068
275	786	2062
276	787	2056
277	789	2050
278	791	2044
279	793	2040
280	795	2035
281	796	2029
282	798	2023
283	800	2017
284	802	2012
285	803	2006
286	805	2001
287	808	1997
288	810	1992
289	811	1987
290	813	1982
291	815	1976
292	816	1970
293	818	1965
294	820	1959
295	822	1955
296	824	1951
297	826	1946
298	827	1940
299	829	1935
300	831	1930
301	832	1924
302	834	1919
303	836	1914
304	838	1910
305	840	1905
306	841	1900
307	844	1896
308	846	1891
309	847	1886
310	849	1881
311	850	1875
312	853	1872
313	855	1868
314	856	1863
315	858	1858
316	860	1853
317	861	1848
318	863	1843
319	864	1838
320	866	1833
321	869	1830
322	870	1825
323	872	1820
324	873	1815
325	875	1810
326	877	1805
327	878	1800
328	880	1795
329	882	1792
330	884	1788
331	886	1783
332	888	1778
333	889	1774
334	891	1769
335	893	1764
336	894	1760
337	896	1755
338	898	1751
339	899	1746
340	901	1741
341	903	1738
342	905	1734
343	907	1729
344	908	1725
345	910	1721
346	912	1716
347	913	1712
348	915	1707
349	917	1703
350	919	1699
351	921	1695
352	922	1691
353	924	1687
354	926	1682
355	927	1678
356	929	1673
357	931	1669
358	933	1666
359	935	1663
360	937	1658
361	938	1654
362	940	1650
363	942	1646
364	943	1642
365	945	1637
366	947	1634
367	950	1631
368	951	1627
369	953	1623
370	955	1619
371	956	1615
372	958	1611
373	960	1607
374	961	1603
375	963	1599
376	965	1596
377	968	1593
378	972	1592
379	974	1589
380	976	1586
381	978	1583
382	980	1580
383	982	1576
384	984	1572
385	985	1568
386	987	1564
387	989	1560
388	990	1555
389	992	1551
390	994	1549
391	996	1545
392	997	1541
393	999	1537
394	1001	1533
395	1002	1529
396	1004	1525
397	1005	1521
398	1007	1517
399	1009	1514
400	1011	1511
401	1013	1507
402	1015	1503
403	1016	1500
404	1018	1496
405	1020	1492
406	1021	1488
407	1024	1485
408	1026	1482
409	1027	1478
410	1029	1475
411	1030	1471
412	1032	1467
413	1034	1463
414	1035	1460
415	1037	1456
416	1039	1453
417	1041	1450
418	1043	1446
419	1044	1442
420	1046	1438
421	1047	1435
422	1049	1431
423	1051	1427
424	1052	1424
425	1054	1421
426	1056	1417
427	1058	1414
428	1060	1411
429	1063	1409
430	1064	1405
431	1066	1402
432	1069	1400
433	1071	1397
434	1073	1394
435	1075	1390
436	1076	1387
437	1078	1384
438	1080	1380
439	1081	1376
440	1084	1374
441	1086	1371
442	1087	1367
443	1089	1364
444	1090	1360
445	1092	1357
446	1094	1354
447	1096	1351
448	1099	1348
449	1101	1346
450	1102	1342
451	1104	1339
452	1106	1335
453	1107	1332
454	1109	1329
455	1111	1325
456	1113	1322
457	1115	1320
458	1117	1316
459	1118	1313
460	1120	1309
461	1121	1306
462	1123	1303
463	1125	1299
464	1126	1296
465	1129	1293
